Employee Code,Total Working Days,Total Full Days,Half Days Due To Duration,Half Days Due To PunchMiss,Half Days Due To Lates,Total Half Days,Total Lates,Total Absent,Total Punch Missed,Total OT Days,Total Half OT Days,Total OT Hours
5126,22,0,0,0,0,0,0,26,0,0,0,0.00
5249,22,11,0,0,0,0,2,1,2,6,1,0.00
5251,22,12,0,0,0,0,1,0,0,7,0,0.00
5272,22,12,0,2,0,2,1,0,2,7,0,0.00
5340,22,11,0,0,0,0,2,1,0,6,1,0.00
1293,22,6,0,0,3,3,0,7,2,7,0,0.00
1678,22,9,0,0,3,3,4,1,0,6,1,0.00
1966,22,12,0,0,1,1,3,3,2,5,2,0.00
2005,22,0,0,0,0,0,0,26,0,0,0,0.00
5314,22,9,0,0,0,0,3,5,0,5,0,0.00
5318,22,11,0,0,0,0,2,9,1,5,0,0.00
5326,22,12,0,0,0,0,2,1,0,7,0,0.00
5375,22,12,0,0,1,1,0,1,0,7,0,0.00
1287,22,15,2,0,1,3,0,0,1,8,0,0.00
1992,22,11,0,0,0,0,1,1,0,7,0,0.00
2006,22,11,0,0,0,0,0,1,0,7,0,0.00
5385,22,9,0,0,2,2,6,2,0,6,0,0.00
1135,22,13,4,0,0,4,0,1,0,7,0,0.00
1272,22,11,4,1,0,5,0,0,2,8,0,0.00
1524,22,13,0,0,0,0,0,0,1,6,1,0.00
1891,22,10,3,0,0,3,0,8,0,5,0,0.00
1892,22,9,2,1,0,3,0,10,2,5,1,0.00
1893,22,11,3,0,0,3,0,1,0,6,1,0.00
2013,22,0,0,0,0,0,0,26,0,0,0,0.00
2018,22,7,1,0,1,2,2,8,4,6,1,0.00
5161,22,12,1,0,0,1,0,0,0,7,0,0.00
5162,22,2,0,0,3,3,2,11,8,2,3,0.00
1388,22,12,0,0,0,0,5,1,0,6,0,0.00
1630,22,10,0,0,2,2,2,6,1,7,0,0.00
1366,22,11,2,0,1,3,1,3,1,6,1,0.00
1587,22,12,2,0,0,2,0,0,0,7,0,0.00
1782,22,11,0,0,0,0,0,2,2,6,1,0.00
1795,22,12,0,0,0,0,1,0,0,7,0,0.00
1807,22,0,0,0,0,0,0,26,0,0,0,0.00
1859,22,0,0,0,0,0,0,26,0,0,0,0.00
1899,22,9,0,0,0,0,0,5,0,5,0,0.00
5254,22,9,1,0,0,1,0,5,0,6,0,0.00
1978,22,8,1,0,0,1,0,8,0,6,0,0.00
1159,22,11,0,0,0,0,4,1,0,8,0,0.00
1632,22,11,0,0,0,0,0,3,0,5,0,0.00
1643,22,12,0,0,0,0,1,0,0,7,0,0.00
1274,22,8,0,0,0,0,5,7,9,2,5,0.00
1603,22,11,0,0,0,0,0,0,2,6,1,0.00
1670,22,0,0,0,0,0,0,26,0,0,0,0.00
1964,22,10,0,0,0,0,3,3,0,6,0,0.00
5229,22,0,0,0,0,0,0,26,0,0,0,0.00
5288,22,11,1,0,0,1,0,1,0,6,0,0.00
1288,22,6,1,0,6,7,1,7,2,5,2,0.00
1576,22,8,3,0,3,6,0,7,0,5,0,0.00
1778,22,11,0,0,1,1,2,7,0,5,0,0.00
1916,22,12,3,0,0,3,2,0,0,7,0,0.00
5168,22,12,0,0,0,0,0,0,0,7,0,0.00
5243,22,3,2,0,2,4,4,16,0,2,1,0.00
5244,22,7,0,0,1,1,3,7,4,6,1,0.00
1781,22,11,0,0,1,1,4,1,0,7,0,0.00
5277,22,15,0,1,0,1,0,0,1,7,0,0.00
5371,22,12,2,0,0,2,1,0,0,7,0,0.00
5387,22,9,0,0,1,1,0,7,1,5,0,0.00
1850,22,8,1,0,3,4,3,0,0,4,3,0.00
1851,22,7,3,0,2,5,4,4,0,4,1,0.00
1129,22,11,0,0,1,1,1,4,0,5,0,0.00
1282,22,8,1,1,1,3,1,5,4,6,2,0.00
1871,22,9,0,0,0,0,3,7,2,7,0,0.00
1943,22,11,0,0,1,1,1,1,0,7,0,0.00
5131,22,11,0,0,0,0,0,1,0,7,0,0.00
5257,22,12,0,0,0,0,1,0,1,6,1,0.00
5260,22,9,0,0,0,0,0,5,0,5,2,0.00
5360,22,9,1,0,0,1,0,6,0,7,0,0.00
1007,22,10,0,0,1,1,4,2,2,7,0,0.00
1177,22,9,0,0,0,0,3,5,2,7,0,0.00
1331,22,0,0,0,0,0,0,26,0,0,0,0.00
1610,22,6,0,1,0,1,0,13,4,4,1,0.00
1641,22,0,0,0,0,0,0,26,0,0,0,0.00
1854,22,9,0,1,0,1,1,8,2,6,0,0.00
1880,22,0,0,0,0,0,0,26,0,0,0,0.00
1945,22,9,0,1,0,1,0,10,2,6,0,0.00
1889,22,13,2,0,0,2,0,0,1,7,0,0.00
1921,22,13,4,0,0,4,0,0,0,5,2,0.00
1922,22,10,0,0,0,0,2,1,1,7,0,0.00
1923,22,14,3,0,0,3,0,0,0,7,0,0.00
1934,22,0,0,0,0,0,0,26,0,0,0,0.00
1940,22,10,4,1,1,6,0,2,3,5,1,0.00
5120,22,0,0,0,0,0,0,26,0,0,0,0.00
5121,22,0,0,0,0,0,0,26,0,0,0,0.00
5122,22,11,0,0,0,0,3,1,0,7,0,0.00
8004,22,0,0,0,0,0,0,26,0,0,0,0.00
8006,22,11,4,1,0,5,0,1,1,7,0,0.00
1989,22,0,0,0,0,0,0,26,0,0,0,0.00
5247,22,9,0,0,0,0,0,8,0,5,1,0.00
5248,22,10,0,0,0,0,0,2,0,6,1,0.00
1738,22,12,0,0,0,0,0,0,0,7,0,0.00
1902,22,0,0,0,0,0,0,26,0,0,0,0.00
2009,22,0,0,0,0,0,0,26,0,0,0,0.00
5104,22,10,2,0,0,2,1,0,1,7,0,0.00
5107,22,7,2,0,3,5,6,2,2,6,1,0.00
5148,22,7,0,0,0,0,4,13,0,4,0,0.00
1742,22,12,0,0,0,0,2,0,0,7,0,0.00
1822,22,11,1,0,1,2,4,0,0,7,0,0.00
1838,22,0,0,0,0,0,0,26,0,0,0,0.00
5227,22,9,0,0,0,0,0,10,0,7,0,0.00
5278,22,10,0,0,0,0,0,3,0,6,0,0.00
5304,22,10,0,0,1,1,4,2,0,6,0,0.00
5336,22,11,0,0,0,0,0,1,0,6,1,0.00
5344,22,9,0,1,0,1,2,11,1,5,0,0.00
1300,22,12,0,0,1,1,0,0,0,7,0,0.00
1367,22,12,0,0,0,0,0,0,0,7,0,0.00
1554,22,0,0,0,0,0,0,26,0,0,0,0.00
1658,22,12,0,0,0,0,1,0,1,6,1,0.00
1667,22,11,2,0,0,2,1,0,0,7,0,0.00
1783,22,11,0,0,0,0,0,1,0,7,0,0.00
1984,22,12,0,0,0,0,2,0,0,7,0,0.00
5199,22,11,0,0,0,0,1,2,0,6,0,0.00
1841,22,10,2,0,0,2,0,0,0,7,0,0.00
1578,22,11,0,0,1,1,0,0,1,6,1,0.00
1618,22,9,1,0,0,1,3,4,0,5,0,0.00
5341,22,10,1,0,1,2,3,0,0,7,0,0.00
1970,22,9,0,0,1,1,4,5,1,6,0,0.00
1577,22,9,0,0,0,0,3,8,4,5,1,0.00
1702,22,14,0,0,0,0,0,0,1,7,0,0.00
1925,22,0,0,0,0,0,0,26,0,0,0,0.00
1650,22,11,0,0,0,0,3,0,1,7,0,0.00
1672,22,11,0,0,0,0,2,1,1,6,1,0.00
1799,22,0,0,0,0,0,0,26,0,0,0,0.00
5280,22,9,0,0,0,0,2,10,0,5,1,0.00
5297,22,0,0,0,0,0,0,26,0,0,0,0.00
5347,22,8,0,0,2,2,2,3,0,6,0,0.00
5364,22,0,0,0,0,0,0,26,0,0,0,0.00
1604,22,11,1,0,0,1,5,6,2,6,1,0.00
1935,22,6,1,0,4,5,8,2,3,4,3,0.00
1973,22,0,0,0,0,0,0,26,0,0,0,0.00
5345,22,10,1,1,0,2,3,0,2,7,0,0.00
5338,22,11,0,0,0,0,0,5,1,6,0,0.00
